base_candidate,candidate,origin,depth,learning_rate,l2_leaf_reg,max_iterations,iterations,training_rows,evaluation_rows,fit_seconds,prediction_seconds,pinball_loss,baseline_pinball_loss,pinball_difference,median_mae,median_bias,coverage_90,mean_width_90,mean_absolute_calibration_error,quantile_crossings,invalid_90_intervals
depth4_lr0p04,depth4_lr0p04_l25_trees375,2010-12-01,4,0.04,5,500,375,34320,744,93.209148167,0.00371124999992,19.9785402101,21.20801128,-1.22947106988,51.256243379,48.7411502099,0.39247311828,83.9710896718,0.389879982622,40,0
depth4_lr0p04,depth4_lr0p04_l25_trees500,2010-12-01,4,0.04,5,500,500,34320,744,93.209148167,0.006160292,22.9384894397,21.20801128,1.73047815965,55.8322415165,53.5755832478,0.27688172043,74.8581006491,0.412743021614,1193,0
depth4_lr0p08,depth4_lr0p08_l25_trees125,2009-01-01,4,0.08,5,250,125,17544,744,25.571870458,0.0048018330001,12.0748696585,13.90554752,-1.83067786155,33.9519108566,23.6417427673,0.786290322581,96.8813975973,0.171717171717,180,0
depth4_lr0p08,depth4_lr0p08_l25_trees188,2009-01-01,4,0.08,5,250,188,17544,744,25.571870458,0.00221324999984,11.9772796136,13.90554752,-1.9282679064,33.5197161061,22.6210177139,0.778225806452,94.1525107348,0.163109590529,785,0
depth4_lr0p08,depth4_lr0p08_l25_trees250,2009-01-01,4,0.08,5,250,250,17544,744,25.571870458,0.00296974999992,11.987278252,13.90554752,-1.91826926804,33.1675527937,20.8551395909,0.760752688172,88.4833867074,0.155479526447,1777,0
depth4_lr0p08,depth4_lr0p08_l25_trees125,2009-02-01,4,0.08,5,250,125,18288,672,25.659328458,0.00287966600013,11.3740478759,11.28038276,0.0936651158704,32.9808191237,7.12079011376,0.761904761905,91.4404324408,0.0873118085618,2,0
depth4_lr0p08,depth4_lr0p08_l25_trees188,2009-02-01,4,0.08,5,250,188,18288,672,25.659328458,0.00270783399992,11.6190300245,11.28038276,0.338647264451,33.3764917754,7.71361575994,0.715773809524,87.5918919393,0.0987788600289,32,0
depth4_lr0p08,depth4_lr0p08_l25_trees250,2009-02-01,4,0.08,5,250,250,18288,672,25.659328458,0.00213054100004,11.7791277832,11.28038276,0.498745023161,33.3961541964,9.26476509893,0.702380952381,83.1506284066,0.105725108225,210,0
depth4_lr0p08,depth4_lr0p08_l25_trees125,2009-03-01,4,0.08,5,250,125,18960,744,27.553985542,0.00788575000001,10.6235661925,10.38357876,0.239987432534,28.2888382,13.5675653316,0.756720430108,67.8411914177,0.0520310633214,192,0
depth4_lr0p08,depth4_lr0p08_l25_trees188,2009-03-01,4,0.08,5,250,188,18960,744,27.553985542,0.00204562499994,10.7014247626,10.38357876,0.317846002557,28.3932743623,12.9184179429,0.735215053763,65.9605765111,0.0565515368741,495,0
